pdl_name,status,therapeutic_class
NURTEC ODT,Preferred,AUTONOMIC AND CNS MEDICATIONS
ONZETRA XSAIL,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
QULIPTA,Preferred,AUTONOMIC AND CNS MEDICATIONS
REYVOW,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
rizatriptan odt generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
rizatriptan tab generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
sumatriptan injection,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
sumatriptan nasal spray generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
sumatriptan tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
TOSYMRA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
TREXIMET,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
UBRELVY,Preferred,AUTONOMIC AND CNS MEDICATIONS
ZAVZPRET,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZEMBRACE SYMTOUCH INJ.,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"zolmitriptan, -odt generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZOMIG NASAL SPRAY,Preferred,AUTONOMIC AND CNS MEDICATIONS
alprazolam tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"alprazolam er, odt generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
alprazolam intensol generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
buspirone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
chlordiazepoxide generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clorazepate dipotassium generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"diazepam inj., soln., tabs generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
lorazepam generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
LOREEV XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
meprobamate generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
oxazepam generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AMBIEN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
BELSOMRA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
DAYVIGO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
doxepin tab generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
EDLUAR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
eszopiclone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
HETLIOZ,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
midazolam generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
QUAZEPAM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
QUVIVIQ,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ROZEREM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
phenobarbital generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
SECONAL,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SONATA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"temazepam 7.5mg, 22.5mg",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"temazepam 15mg, 30mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
triazolam,Preferred,AUTONOMIC AND CNS MEDICATIONS
zaleplon generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
zolpidem generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
zolpidem er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
zolpidem sl tab generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lithium carbonate generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
APTIOM,Preferred,AUTONOMIC AND CNS MEDICATIONS
BANZEL TABS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
BANZEL SUSPENSION,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
BRIVIACT,Preferred,AUTONOMIC AND CNS MEDICATIONS
carbamazepine ir generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"carbamazepine er/sr 200mg, 400mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
carbamazepine sr 12 hr (generic Carbatrol),Preferred,AUTONOMIC AND CNS MEDICATIONS
CELONTIN,Preferred,AUTONOMIC AND CNS MEDICATIONS
clobazam suspension generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
clobazam tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clonazepam generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clonazepam odt generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
DIACOMIT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
diazepam rectal gel,Preferred,AUTONOMIC AND CNS MEDICATIONS
divalproex sprinkles generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"divalproex DR, -ER generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
ELEPSIA XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
EPIDIOLEX,Preferred,AUTONOMIC AND CNS MEDICATIONS
EPRONTIA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
felbamate susp. generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
FELBATOL TABS,Preferred,AUTONOMIC AND CNS MEDICATIONS
FINTEPLA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FYCOMPA,Preferred,AUTONOMIC AND CNS MEDICATIONS
gabapentin caps generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
gabapentin solution generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
gabapentin tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
lacosamide inj. generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"lacosamide soln., tabs generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
LAMICTAL KITS (immediate release),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"LAMICTAL ODT TABS, KITS",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
LAMICTAL XR KITS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lamotrigine chewable dispersable tab generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
lamotrigine kits (immediate release and odt),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lamotrigine odt generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lamotrigine tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
lamotrigine er tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
levetiracetam solution/tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
levetiracetam tabs er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
levetiracetam injection generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
LIBERVANT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
LYRICA,Preferred,AUTONOMIC AND CNS MEDICATIONS
LYRICA CR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
MOTPOLY XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NAYZILAM,Preferred,AUTONOMIC AND CNS MEDICATIONS
oxcarbazepine tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
OXTELLAR XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PEGANONE,Preferred,AUTONOMIC AND CNS MEDICATIONS
PHENYTEK,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
phenytoin generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
primidone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
primidone 125mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
QUDEXY XR,Preferred,AUTONOMIC AND CNS MEDICATIONS
SABRIL,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
STAVZOR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SYMPAZAN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
TEGRETOL XR 100mg,Preferred,AUTONOMIC AND CNS MEDICATIONS
tiagabine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
topiramate sprinkles generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
topiramate er sprinkles (upsher-smith generic only),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
topiramate tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
TRILEPTAL SUSP.,Preferred,AUTONOMIC AND CNS MEDICATIONS
TROKENDI XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
valproic acid caps,Preferred,AUTONOMIC AND CNS MEDICATIONS
valproic acid syrup,Preferred,AUTONOMIC AND CNS MEDICATIONS
VALTOCO,Preferred,AUTONOMIC AND CNS MEDICATIONS
VIGAFYDE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"XCOPRI TABS, PAK",Preferred,AUTONOMIC AND CNS MEDICATIONS
ZONISADE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
zonisamide generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ZTALMY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
citalopram tab generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
escitalopram tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
escitalopram soln. generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
fluoxetine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
fluoxetine 90mg caps generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"fluoxetine 10mg, 20mg tabs generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
fluoxetine 60mg tab generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"fluoxetine (pmdd) caps, tabs generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
fluvoxamine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
fluvoxamine er generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
paroxetine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
paroxetine er,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PAXIL SUSP.,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PEXEVA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
sertraline tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
desvenlafaxine er tabs (generic Khedezla),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
desvenlafaxine succinate er tabs (generic Pristiq),Preferred,AUTONOMIC AND CNS MEDICATIONS
DRIZALMA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"duloxetine 20mg, 30mg, 60mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
duloxetine 40mg generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FETZIMA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
venlafaxine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
venlafaxine besylate er tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
venlafaxine hcl er tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
venlafaxine er caps generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
nefazodone generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"trazodone 50mg, 100mg, 150mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
trazodone 300mg generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
TRINTELLIX,Preferred,AUTONOMIC AND CNS MEDICATIONS
VIIBRYD,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
EMSAM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
MARPLAN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
phenelzine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
tranylcypromine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
amitriptyline generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
amoxapine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clomipramine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
desimpramine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
doxepin generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
imipramine tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
imipramine caps generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
nortriptyline generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
protriptyline generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
trimipramine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"mirtazapine, -odt generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
APLENZIN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AUVELITY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
bupropion IR generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"bupropion ER & SR 100mg, 150mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
bupropion SR 200mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
FORFIVO XL,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SPRAVATO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZURZUVAE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AKYNZEO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ANZEMET TABS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ANZEMET INJECTION,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"aprepitant caps, pack generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
chlorpromazine concentrate generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
DICLEGIS,Preferred,AUTONOMIC AND CNS MEDICATIONS
dimenhydrinate inj. generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
dronabinol generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
EMEND SUSP,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
granisetron generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
meclizine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
prochlorperazine rectal suppository generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
promethazine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
promethazine 50mg rectal suppository generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ondansetron generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ondansetron inj. generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ondansetron odt 16mg generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SANCUSO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
scopolamine patches generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
TIGAN INJ.,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
TRANSDERM-SCOP,Preferred,AUTONOMIC AND CNS MEDICATIONS
trimethobenzamide generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
APOKYN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AZILECT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
bromocriptine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
carbidopa generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
carbidopa/levodopa generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
carbidopa/levodopa disintegrating tablets generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
carbidopa/levodopa/entacapone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
DUOPA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
entacapone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
INBRIJA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
MIRAPEX ER,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NEUPRO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NOURIANZ,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ONGENTYS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
pramipexole generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
pramipexole er generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ropinirole generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ropinirole er generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
RYTARY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
selegiline generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
tolcapone generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
VYALEV,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
XADAGO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZELAPAR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ABILIFY MYCITE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
aripiprazole odt generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
aripiprazole tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
aripiprazole oral soln. generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
asenapine sl tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
CAPLYTA,Preferred,AUTONOMIC AND CNS MEDICATIONS
clozapine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clozapine odt generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
COBENFY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FANAPT,Preferred,AUTONOMIC AND CNS MEDICATIONS
GEODON inj,Preferred,AUTONOMIC AND CNS MEDICATIONS
lurasidone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
LYBALVI,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NUPLAZID,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"olanzapine, -odt generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
olanzapine inj. (short-acting) generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
olanzapine/fluoxetine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
paliperidone er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"quetiapine generic 25mg, 50mg",Preferred,AUTONOMIC AND CNS MEDICATIONS
"quetiapine generic 100mg, 150mg, 200mg, 300mg, 
400mg",Preferred,AUTONOMIC AND CNS MEDICATIONS
quetiapine er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
REXULTI,Preferred,AUTONOMIC AND CNS MEDICATIONS
risperidone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
risperidone orally disintegrating tab generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
SECUADO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
VERSACLOZ SUSPENSION,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
VRAYLAR,Preferred,AUTONOMIC AND CNS MEDICATIONS
ziprasidone caps generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ABILIFY MAINTENA,Preferred,AUTONOMIC AND CNS MEDICATIONS
ABILIFY ASIMTUFII,Preferred,AUTONOMIC AND CNS MEDICATIONS
ARISTADA,Preferred,AUTONOMIC AND CNS MEDICATIONS
ARISTADA INITIO,Preferred,AUTONOMIC AND CNS MEDICATIONS
"INVEGA SUSTENNA, -TRINZA, -HAFYERA",Preferred,AUTONOMIC AND CNS MEDICATIONS
PERSERIS,Preferred,AUTONOMIC AND CNS MEDICATIONS
RISPERDAL CONSTA,Preferred,AUTONOMIC AND CNS MEDICATIONS
RYKINDO,Preferred,AUTONOMIC AND CNS MEDICATIONS
UZEDY,Preferred,AUTONOMIC AND CNS MEDICATIONS
ZYPREXA RELPREVV,Preferred,AUTONOMIC AND CNS MEDICATIONS
EQUETRO,Preferred,AUTONOMIC AND CNS MEDICATIONS
fluphenazine decanoate vial generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
haloperidol decanoate vial generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
molindone generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
ADZENYS XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"amphetamine salt combination, -er generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
APTENSIO XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
armodafinil generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
atomoxetine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
AZSTARYS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
COTEMPLA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
DAYTRANA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
dexmethylphenidate generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"dextroamphetamine 5mg, 10mg generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
dextroamphetamine er generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
dextroamphetamine soln. generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"DYANAVEL XR SUSP., -CHEW TABS",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"EVEKEO, -ODT",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FOCALIN XR,Preferred,AUTONOMIC AND CNS MEDICATIONS
JORNAY PM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lisdexamfetamine chew tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
methamphetamine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate cd generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate chew tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate 10mg er (generic for Metadate ER),Preferred,AUTONOMIC AND CNS MEDICATIONS
"methylphenidate/metadate 20mg er/sr (generic for 
Ritalin SR)",Preferred,AUTONOMIC AND CNS MEDICATIONS
"methylphenidate er (generic for Ritalin LA; except 
10mg)",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate sa osm (generic for Concerta),Preferred,AUTONOMIC AND CNS MEDICATIONS
"methylphenidate osm 45mg, 63mg, 72mg (generic for Relexxii)",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
methylphenidate solution generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
modafinil generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
MYDAYIS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ONYDA XR SUSPENSION,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
QELBREE,Preferred,AUTONOMIC AND CNS MEDICATIONS
QUILLICHEW ER,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
QUILLIVANT SUSP XR,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
RITALIN LA 10mg,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SUNOSI,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
VYVANSE CAPS,Preferred,AUTONOMIC AND CNS MEDICATIONS
WAKIX,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
XELSTRYM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
XYWAV,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"ZENZEDI 2.5mg, 7.5mg, 15mg, 20mg, 30mg",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AQNEURSA,Preferred,AUTONOMIC AND CNS MEDICATIONS
"buprenorphine sl tabs, inj., generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
buprenorphine/naloxone sl tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
caffeine citrate injection 60mg/3ml generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
clonidine 0.1mg er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
FIRDAPSE,Preferred,AUTONOMIC AND CNS MEDICATIONS
guanfacine er generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
HORIZANT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
KLOXXADO SPRAY,Preferred,AUTONOMIC AND CNS MEDICATIONS
MESTINON,Preferred,AUTONOMIC AND CNS MEDICATIONS
MIPLYFFA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
naloxone injection generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
naloxone nasal spray OTC,Preferred,AUTONOMIC AND CNS MEDICATIONS
NARCAN SPRAY OTC,Preferred,AUTONOMIC AND CNS MEDICATIONS
nimodipine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
NYMALIZE,Preferred,AUTONOMIC AND CNS MEDICATIONS
OPVEE SPRAY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
pimozide generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
pyridostigmine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
REXTOVY,Preferred,AUTONOMIC AND CNS MEDICATIONS
RYSTIGGO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SUBOXONE,Preferred,AUTONOMIC AND CNS MEDICATIONS
TEGSEDI,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
VIVITROL,Preferred,AUTONOMIC AND CNS MEDICATIONS
WAINUA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
XYREM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZIMHI,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZUBSOLV,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZILBRYSQ,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ADLARITY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"donepezil, -ODT generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
donepezil 23mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"galantamine tabs, -er caps generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
galantamine soln. generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
memantine soln. generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"memantine tabs, titration pak generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
memantine er caps generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NAMZARIC,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"rivastigmine caps, -patches generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
AMPYRA,Preferred,AUTONOMIC AND CNS MEDICATIONS
AVONEX,Preferred,AUTONOMIC AND CNS MEDICATIONS
BAFIERTAM,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
BETASERON,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
COPAXONE KIT 20MG/ML,Preferred,AUTONOMIC AND CNS MEDICATIONS
COPAXONE 40MG/ML,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
dalfampridine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
dimethyl fumarate generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
EXTAVIA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
fingolimod 0.5mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
GLATOPA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
KESIMPTA,Preferred,AUTONOMIC AND CNS MEDICATIONS
MAVENCLAD,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
MAYZENT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PLEGRIDY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PONVORY,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
