therapeutic_class,capsule_name,pdl_name,Unnamed: 3
ENDOCRINE AND METABOLIC AGENTS : MISC,Galafold,GALAFOLD Capsule,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Galantamine ER,GALANTAMINE HYDROBROMIDEER Capsule Extended Release 24 Hour,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Galantamine oral solution,GALANTAMINE HYDROBROMIDE Solution,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Galantamine tablet,GALANTAMINE HYDROBROMIDE Tablet,
GASTROINTESTINAL AGENTS : MISC,Gattex vial,GATTEX Kit,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Gavreto,GAVRETO Capsule,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Genotropin,GENOTROPIN Cartridge,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Genvoya,GENVOYA Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Geodon,GEODON Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Gilotrif,GILOTRIF Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Glatiramer Acetate prefilled syringe,GLATIRAMER ACETATE Solution Prefilled Syringe,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Glatopa (Glatiramer Acetate) prefilled syringe,GLATOPA Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Gleevec,GLEEVEC Tablet,
ANTIDIABETICS : COMBINATIONS,Glyxambi,GLYXAMBI Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Gomekli capsule,GOMEKLI Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Gomekli soluble tablet,GOMEKLI Tablet Soluble,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Gralise,GRALISE Tablet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Granix,GRANIX Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Ankylosing Spondylitis,HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Crohn’s Disease (adult),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Crohn’s Disease (pediatric),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Hidradenitis Suppurativa,HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Plaque Psoriasis (adult),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Polyarticular Juvenile Idiopathic Arthritis (PJIA),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Psoriatic Arthritis (adult),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Rheumatoid Arthritis,HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Ulcerative Colitis (adult),HADLIMA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hadlima Uveitis (adult),HADLIMA Solution Prefilled Syringe,
ANTIVIRALS : HEPATITIS C AGENTS,Harvoni,HARVONI Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKERS,Hemangeol,HEMANGEOL Solution,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Hemlibra,HEMLIBRA Solution,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Horizant,HORIZANT Tablet Extended-Release,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Ankylosing Spondylitis,HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Crohn’s Disease (adult),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Crohn’s Disease (pediatric),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Hidradenitis Suppurativa,HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Plaque Psoriasis (adult),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Polyarticular Juvenile Idiopathic Arthritis (PJIA),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Psoriatic Arthritis (adult),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Rheumatoid Arthritis,HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Ulcerative Colitis (adult),HULIO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hulio Uveitis (adult),HULIO Prefilled Syringe Kit,
ANTIDIABETICS : INSULIN,Humalog Junior KwikPen,HUMALOG JUNIOR KWIKPEN Solution Pen-injector,
ANTIDIABETICS : INSULIN,"Humalog KwikPen, U-100",HUMALOG KWIKPEN 100 UNIT/ML Solution Pen-injector,
ANTIDIABETICS : INSULIN,Humalog vial,HUMALOG Solution,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Humatrope,HUMATROPE Cartridge,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Ankylosing Spondylitis,HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Crohn's Disease (adult),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Crohn's Disease (pediatric),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Hidradenitis Suppurativa,HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Plaque Psoriasis (adult),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Polyarticular Juvenile Idiopathic Arthritis (PJIA),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Psoriatic Arthritis (adult),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Rheumatoid Arthritis,HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Ulcerative Colitis (adult),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Ulcerative Colitis (pediatric),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Uveitis (adult),HUMIRA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Humira Uveitis (pediatric),HUMIRA Prefilled Syringe Kit,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : MISC,Hycamtin capsule,HYCAMTIN Capsule,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Ankylosing Spondylitis,HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Crohn’s Disease (adult),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Crohn’s Disease (pediatric),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Hidradenitis Suppurativa,HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Plaque Psoriasis (adult),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Polyarticular Juvenile Idiopathic Arthritis (PJIA),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Psoriatic Arthritis (adult),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Rheumatoid Arthritis,HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Ulcerative Colitis (adult),HYRIMOZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Hyrimoz Uveitis (adult),HYRIMOZ Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Ibrance capsule,IBRANCE Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Ibrance tablet,IBRANCE Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Iclusig,ICLUSIG Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Ankylosing Spondylitis,IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Crohn’s Disease (adult),IDACIO STARTER PACKAGE FOR CROHNS DISEASE Auto-injector Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Crohn’s Disease (pediatric),IDACIO STARTER PACKAGE FOR CROHNS DISEASE Auto-injector Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Hidradenitis Suppurativa,IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Plaque Psoriasis (adult),IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Polyarticular Juvenile Idiopathic Arthritis (PJIA),IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Psoriatic Arthritis (adult),IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Rheumatoid Arthritis,IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Ulcerative Colitis (adult),IDACIO (2 SYRINGE) Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Idacio Uveitis (adult),IDACIO (2 SYRINGE) Prefilled Syringe Kit,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Idelvion,IDELVION Solution Reconstituted,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Adult-Onset Still’s Disease,ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Cryopyrin Associated Periodic Syndromes (CAPS) including Familial Cold Autoinflammatory Syndrome (FCAS) and Muckle-Wells Syndrome (MWS),ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Familial Mediterranean Fever (FMF),ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Gout Flares,ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD),ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Systemic-Onset Juvenile Idiopathic Arthritis (SJIA),ILARIS Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Ilaris Tumor Necrosis Factor Receptor Associated Periodic Syndrome (TRAPS),ILARIS Solution,
OPHTHALMIC AGENTS : MISC,Ilevro ophthalmic suspension,ILEVRO Suspension,
DERMATOLOGICALS : ANTIPSORIATICS,Ilumya Plaque Psoriasis (adult),ILUMYA Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Imatinib,IMATINIB MESYLATE Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Imbruvica,IMBRUVICA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ANTICHOLINERGICS,Incruse Ellipta,"INCRUSE ELLIPTA Aerosol Powder, Breath Activated",
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Inflectra,INFLECTRA Solution Reconstituted,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Ingrezza,INGREZZA Capsule,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Ingrezza sprinkle capsule,INGREZZA Capsule Sprinkle,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Ingrezza titration pack,INGREZZA Capsule Therapy Pack,
ANTIDIABETICS : INSULIN,Insulin Glargine,INSULIN GLARGINE Solution,
ANTIDIABETICS : INSULIN,Insulin Lispro,INSULIN LISPRO Solution,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Intelence,INTELENCE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Invega ER,INVEGA Tablet Extended Release 24 HR*,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Invega Hafyera,INVEGA HAFYERA Suspension Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Invega Sustenna,INVEGA SUSTENNA Suspension Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Invega Trinza,INVEGA TRINZA Suspension Prefilled Syringe,
ANTIDIABETICS : COMBINATIONS,Invokamet,INVOKAMET Tablet,
ANTIDIABETICS : COMBINATIONS,Invokamet XR,INVOKAMET XR Tablet Extended Release 24 HR*,
ANTIDIABETICS : SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS,Invokana,INVOKANA Tablet,
OPHTHALMIC AGENTS : MISC,Iopidine ophthalmic solution,IOPIDINE Solution,
GASTROINTESTINAL AGENTS : MISC,Iqirvo tablet,IQIRVO Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS,Irbesartan,IRBESARTAN Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Iressa,IRESSA Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Isentress,ISENTRESS Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : CHEMOTHERAPY RESCUE / ANTIDOTE AGENTS,Iwilfin,IWILFIN Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Ixinity,IXINITY Solution Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Jakafi,JAKAFI Tablet,
ANTIDIABETICS : COMBINATIONS,Janumet,JANUMET Tablet,
ANTIDIABETICS : DIPEPTIDYL PEPTIDASE-4 (DPP-4) INHIBITORS,Januvia,JANUVIA Tablet,
ANTIDIABETICS : SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS,Jardiance,JARDIANCE Tablet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Javygtor packet for oral solution,JAVYGTOR Packet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Javygtor tablet,JAVYGTOR Tablet,
ANTIDIABETICS : COMBINATIONS,Jentadueto,JENTADUETO Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Jivi,JIVI Solution Reconstituted,
MISCELLANEOUS THERAPEUTIC CLASSES,Joenja,JOENJA Tablet,
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,Jornay PM,JORNAY PM Capsule Extended Release 24 Hour,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Kaletra,KALETRA Tablet,
RESPIRATORY AGENTS : CYSTIC FIBROSIS AGENTS,Kalydeco,KALYDECO Tablet,
ANTICONVULSANTS,Keppra XR,KEPPRA XR Tablet Extended Release 24 HR*,
ANTICONVULSANTS,Keppra oral solution,KEPPRA Solution,
ANTICONVULSANTS,Keppra tablet,KEPPRA Tablet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Kerendia,KERENDIA Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Kesimpta,KESIMPTA Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Kevzara Polyarticular Juvenile Idiopathic Arthritis (PJIA),KEVZARA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Kevzara Polymyalgia Rheumatica (PMR),KEVZARA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Kevzara Rheumatoid Arthritis,KEVZARA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Kineret,KINERET Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Kisqali,KISQALI Tablet Therapy Pack,
ANTIBIOTICS : AMINOGLYCOSIDES - INHALED,Kitabis Pak,KITABIS PAK Nebulization Solution,
SUBSTANCE USE DISORDER AGENTS,Kloxxado,KLOXXADO Liquid,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Kogenate FS,KOGENATE FS Kit,
ANTIDIABETICS : COMBINATIONS,Kombiglyze XR,KOMBIGLYZE XR Tablet Extended Release 24 HR*,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC,Konvomep,KONVOMEP Suspension Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Koselugo,KOSELUGO Capsule,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Kovaltry,KOVALTRY Solution Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Krazati,KRAZATI Tablet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Kuvan packet for oral solution,KUVAN Packet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Kuvan tablet,KUVAN Tablet,
ANTICONVULSANTS,Lamictal ODT,LAMICTAL ODT Tablet Disintegrating,
ANTICONVULSANTS,Lamictal tablet,LAMICTAL Tablet,
ANTICONVULSANTS,Lamotrigine,LAMOTRIGINE Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Lansoprazole,LANSOPRAZOLE Capsule Delayed Release,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC,Lansoprazole / Amoxicillin / Clarithromycin,LANSOPRAZOLE/AMOXICILLIN/CLARITHROMYCIN Therapy Pack,
ANTIDIABETICS : INSULIN,Lantus SoloStar,LANTUS SOLOSTAR Solution Pen-injector,
ANTIDIABETICS : INSULIN,Lantus vial,LANTUS Solution,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Latuda,LATUDA Tablet,
ANTIVIRALS : HEPATITIS C AGENTS,Ledipasvir / Sofosbuvir,LEDIPASVIR/SOFOSBUVIR Tablet,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Letairis,LETAIRIS Tablet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Leukine,LEUKINE Solution Reconstituted,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Levalbuterol Tartrate inhalation aerosol solution,LEVALBUTEROL TARTRATE HFA Aerosol,
ANTIDIABETICS : INSULIN,Levemir FlexTouch,LEVEMIR FLEXTOUCH Solution Pen-injector,
ANTIDIABETICS : INSULIN,Levemir vial,LEVEMIR Solution,
GASTROINTESTINAL AGENTS : MISC,Linzess,LINZESS Capsule,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Liqrev,LIQREV Suspension,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Lisinopril,LISINOPRIL Tablet,
GASTROINTESTINAL AGENTS : MISC,Livdelzi capsule,LIVDELZI Capsule,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Lo Loestrin Fe,LO LOESTRIN FE Tablet,
MISCELLANEOUS THERAPEUTIC CLASSES,Lokelma,LOKELMA Packet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Lorbrena,LORBRENA Tablet,
MUSCULOSKELETAL THERAPY AGENTS,Lorzone,LORZONE Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS,Losartan,LOSARTAN POTASSIUM Tablet,
SUBSTANCE USE DISORDER AGENTS,Lucemyra,LUCEMYRA Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Lumakras,LUMAKRAS Tablet,
OPHTHALMIC AGENTS : MISC,Lumigan 2.5 mL,LUMIGAN Solution,
OPHTHALMIC AGENTS : MISC,Lumigan 5 mL,LUMIGAN Solution,
OPHTHALMIC AGENTS : MISC,Lumigan 7.5 mL,LUMIGAN Solution,
IMMUNOSUPPRESSIVE AGENTS,Lupkynis,LUPKYNIS Capsule,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Lurasidone,LURASIDONE HYDROCHLORIDE Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Lybalvi,LYBALVI Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Lynparza,LYNPARZA Tablet,
ANTICONVULSANTS,Lyrica,LYRICA Capsule,
ANTIDIABETICS : INSULIN,"Lyumjev KwikPen, U-100",LYUMJEV KWIKPEN Solution Pen-injector,
ANTIDIABETICS : INSULIN,"Lyumjev KwikPen, U-200",LYUMJEV KWIKPEN Solution Pen-injector,
ANTIDIABETICS : INSULIN,Lyumjev vial,LYUMJEV Solution,
MUSCULOSKELETAL THERAPY AGENTS,Lyvispah,LYVISPAH Packet,
ANTIVIRALS : HEPATITIS C AGENTS,Mavyret,MAVYRET Tablet,
OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS,Maxidex ophthalmic suspension,MAXIDEX Suspension,
OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS,Maxitrol ophthalmic ointment,MAXITROL Ointment,
OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS,Maxitrol ophthalmic suspension,MAXITROL Suspension,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Memantine XR,MEMANTINE HYDROCHLORIDE ER Capsule Extended Release 24 Hour,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Memantine oral solution,MEMANTINE HYDROCHLORIDE Solution,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Memantine tablet,MEMANTINE HYDROCHLORIDE Tablet,
MUSCULOSKELETAL THERAPY AGENTS,Metaxalone,METAXALONE Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKERS,Metoprolol Succinate ER tablet,METOPROLOL SUCCINATE ER Tablet Extended Release 24 HR*,
DERMATOLOGICALS : MISC,Metrogel 0.75%,METROGEL Gel,
DERMATOLOGICALS : MISC,Metronidazole 0.75% Gel,METRONIDAZOLE Gel,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Miplyffa capsule,MIPLYFFA Capsule,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Moexipril,MOEXIPRIL HYDROCHLORIDE Tablet,
ANTICONVULSANTS,Motpoly XR,MOTPOLY XR Capsule Extended Release 24 Hour,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Mounjaro,MOUNJARO Solution Auto-injector,
ESTROGENS,Myfembree Endometriosis,MYFEMBREE Tablet,
