ST,Class
IL,ANTIDIABETICS : COMBINATIONS
IL,ANTIDIABETICS : DIPEPTIDYL PEPTIDASE-4 (DPP-4) INHIBITORS
IL,ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS)
IL,ANTIDIABETICS : INSULIN
IL,ANTIDIABETICS : MISC
IL,ANTIDIABETICS : SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS
IL,ANTIDOTES AND SPECIFIC ANTAGONISTS : ANTIDOTES - CHELATING AGENTS
IL,ANTIEMETICS : 5-HT3 RECEPTOR ANTAGONISTS
IL,ANTIEMETICS : MISC
IL,ANTIEMETICS : SUBSTANCE P/NEUROKININ 1 (NK1) RECEPTOR ANTAGONISTS
IL,ANTIFUNGALS
IL,ANTIHYPERLIPIDEMICS
IL,ANTIMYASTHENIC AGENTS
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ALKYLATING AGENTS
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTIMETABOLITES
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : CHEMOTHERAPY RESCUE / ANTIDOTE AGENTS
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : MISC
IL,ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : MITOTIC INHIBITORS
IL,ANTIPARASITICS : ANTHELMINTICS
IL,ANTIPARASITICS : ANTIMALARIALS
IL,ANTIPARKINSON AND RELATED THERAPY AGENTS
IL,ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES
IL,ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES
IL,ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC
IL,ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES
IL,ANTIVIRALS : ANTIRETROVIRALS (HIV)
IL,ANTIVIRALS : HEPATITIS B AGENTS
IL,ANTIVIRALS : HEPATITIS C AGENTS
IL,ANTIVIRALS : MISC
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANTIADRENERGICS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKER COMBINATIONS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKERS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : CALCIUM CHANNEL BLOCKERS
IL,CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : MISC
IL,CARDIOVASCULAR AGENTS - CARDIOTONICS : CARDIAC GLYCOSIDES
IL,CARDIOVASCULAR AGENTS : ANTIANGINAL AGENTS
IL,CARDIOVASCULAR AGENTS : ANTIARRHYTHMICS
IL,CARDIOVASCULAR AGENTS : DIURETICS
IL,CARDIOVASCULAR AGENTS : MISC
IL,CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION
IL,CONTRACEPTIVES : COMBINATION CONTRACEPTIVES
IL,CONTRACEPTIVES : EMERGENCY CONTRACEPTIVES
IL,CONTRACEPTIVES : PROGESTIN CONTRACEPTIVES
IL,CORTICOSTEROIDS
IL,DERMATOLOGICALS : ACNE PRODUCTS
IL,DERMATOLOGICALS : ANTIBIOTICS
IL,DERMATOLOGICALS : ANTIFUNGALS
IL,DERMATOLOGICALS : ANTIPSORIATICS
IL,DERMATOLOGICALS : CORTICOSTEROIDS - TOPICAL
IL,DERMATOLOGICALS : MISC
IL,DERMATOLOGICALS : SCABICIDES & PEDICULICIDES
IL,DIAGNOSTIC PRODUCTS : PREGNANCY TESTS
IL,DIGESTIVE ENZYMES
IL,ENDOCRINE AND METABOLIC AGENTS : BONE DENSITY REGULATORS
IL,ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES
IL,ENDOCRINE AND METABOLIC AGENTS : MISC
IL,ENDOCRINE AND METABOLIC AGENTS : VITAMIN D ANALOGS
IL,ESTROGENS
IL,GASTROINTESTINAL AGENTS : INFLAMMATORY BOWEL AGENTS
IL,GASTROINTESTINAL AGENTS : MISC
IL,GASTROINTESTINAL AGENTS : PHOSPHATE BINDER AGENTS
IL,GENITOURINARY AGENTS : MISC
IL,GENITOURINARY AGENTS : PROSTATIC HYPERTROPHY AGENTS
IL,GLUCOSE MONITORING SUPPLIES : CGMs
IL,GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS
IL,GLUCOSE MONITORING SUPPLIES : INJECTION DEVICE FOR INSULIN
IL,GLUCOSE MONITORING SUPPLIES : INSULIN INFUSION DISPOSABLE PUMP
IL,GLUCOSE MONITORING SUPPLIES : INSULIN PEN NEEDLES
IL,GLUCOSE MONITORING SUPPLIES : INSULIN SYRINGES
IL,GLUCOSE MONITORING SUPPLIES : TEST STRIPS
IL,GOUT AGENTS
IL,HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS
IL,HEMATOLOGICAL AGENTS : MISC
IL,HEMATOLOGICAL AGENTS : PLATELET AGGREGATION INHIBITORS
IL,HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS
IL,HYPNOTICS / SEDATIVES / SLEEP DISORDER AGENTS : BENZODIAZEPINE HYPNOTICS
IL,HYPNOTICS / SEDATIVES / SLEEP DISORDER AGENTS : MISC
IL,HYPNOTICS / SEDATIVES / SLEEP DISORDER AGENTS : NON - BENZODIAZEPINE HYPNOTICS
IL,IMMUNOSUPPRESSIVE AGENTS
IL,MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG
IL,MIGRAINE PRODUCTS : MISC
IL,MIGRAINE PRODUCTS : SELECTIVE SEROTONIN AGONISTS 5-HT(1F)
IL,MISCELLANEOUS THERAPEUTIC CLASSES
IL,MOUTH / THROAT / DENTAL AGENTS
IL,MULTIVITAMINS : PRENATAL VITAMINS
IL,MUSCULOSKELETAL THERAPY AGENTS
IL,NASAL AGENTS - SYSTEMIC AND TOPICAL : MISC
IL,NEUROMUSCULAR AGENTS
IL,OPHTHALMIC AGENTS : BETA-BLOCKERS - OPHTHALMIC
IL,OPHTHALMIC AGENTS : MISC
IL,OPHTHALMIC AGENTS : OPHTHALMIC ANTIALLERGIC
IL,OPHTHALMIC AGENTS : OPHTHALMIC ANTI-INFECTIVES
IL,OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS
IL,OTIC AGENTS
IL,OTIC AGENTS : OTIC COMBINATIONS
IL,PROGESTINS
IL,PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS
IL,PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC
IL,PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS
IL,PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : SMOKING DETERRENTS
IL,RESPIRATORY AGENTS : CYSTIC FIBROSIS AGENTS
IL,RESPIRATORY AGENTS : MISC
IL,SUBSTANCE USE DISORDER AGENTS
IL,THYROID AGENTS
IL,TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES
IL,ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : H-2 ANTAGONISTS
IL,ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC
IL,ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS
IL,URINARY ANTISPASMODICS
IL,VAGINAL PRODUCTS
LA,"ACNE AGENTS, TOPICAL"
LA,ADD/ADHD
LA,ALLERGY
LA,ALZHEIMER’S AGENTS
LA,ANDROGENIC AGENTS
LA,ANTHELMINTICS
LA,ANTICONVULSANTS
LA,ANTIPSYCHOTIC AGENTS
LA,"ANTIVIRALS, ORAL"
LA,ANXIOLYTICS
LA,ASTHMA/COPD
LA,BOTULINUM TOXINS
LA,COLONY STIMULATING FACTORS
LA,DEPRESSION
LA,DERMATOLOGY
LA,DIABETES
LA,DIGESTIVE DISORDERS
LA,"EPINEPHRINE, SELF-ADMINISTERED"
LA,"GI MOTILITY, CHRONIC"
LA,"GLUCOCORTICOIDS, ORAL"
LA,GOUT AGENTS
LA,GROWTH DEFICIENCY
LA,H. PYLORI TREATMENT
LA,"HEART DISEASE, HYPERLIPIDEMIA"
LA,"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS"
LA,HEMODIALYSIS
LA,HEMOPHILIA TREATMENT
LA,HEREDITARY ANGIOEDEMA
LA,HIV-AIDS
LA,IDIOPATHIC PULMONARY FIBROSIS
LA,IMMUNE GLOBULINS (IG)
LA,"IMMUNOSUPPRESSIVES, ORAL"
LA,INFECTIOUS DISORDERS
LA,METHOTREXATE
LA,MOVEMENT DISORDER
LA,MULTIPLE SCLEROSIS
LA,MULTIVITAMINS
LA,ONCOLOGY
LA,OPHTHALMIC DISORDERS
LA,OPIATE DEPENDENCE AGENTS
LA,OSTEOPOROSIS
LA,OTIC AGENTS
LA,PAIN MANAGEMENT
LA,PAIN MANAGEMEN
LA,PARKINSON'S
LA,PEDIATRIC MULTIVITAMINS
LA,PITUITARY SUPPRESSIVE AGENTS
LA,POTASSIUM BINDERS
LA,PRENATAL VITAMINS
LA,PROGESTATIONAL AGENTS
LA,PROSTATE
LA,SEDATIVE/HYPNOTICS
LA,SICKLE CELL ANEMIA
LA,SINUS NODE INHIBITORS
LA,SMOKING CESSATION PRODUCTS
LA,SPINAL MUSCULAR ATROPHY
LA,THROMBOPOIESIS STIMULATING PROTEINS
LA,UREA CYCLE DISORDERS
LA,UROLOGY INCONTINENCE
LA,UTERINE DISORDER TREATMENTS
LA,"ANTI-ALLERGENS, ORAL"
LA,"CYSTIC FIBROSIS, ORAL"
LA,ENZYME REPLACEMENT
LA,GROWTH FACTORS
LA,LUPUS IMMUNOMODULATORS
ME,ACE AND THIAZIDE COMBO'S
ME,ACE INHIBITORS
ME,ACE INHIBITORS AND CA CHANNEL BLOCKERS
ME,ACHONDROPLASIA TREATMENT
ME,ACID SPHINGOMYELINASE DEFICIENCY (ASMD)
ME,ACUTE HEPATIC PORPHYRIA (AHP)
ME,ALCOHOL DETERRENTS
ME,ALLERGEN IMMUNOTHERAPY
ME,ALOPECIA AREATA AGENTS
ME,ALPHA- MANNOSIDOSIS
ME,ALS DRUGS
ME,ALTERNATIVE MEDICINES
ME,ALZHEIMER - Cholinomimetics/Others
ME,AMINO GLYCOSIDES
ME,ANALGESICS - MISC.
ME,ANAPHYLACTIC DEVICES
ME,ANDROGENS / ANABOLICS
ME,ANEMIA- BETA THALASSEMIA
ME,ANESTHETICS - MISC.
ME,ANGIOTENSIN MODULATORS-ARB COMBINATION
ME,ANGIOTENSIN RECEPTOR BLOCKER
ME,ANORECTAL - MISC. 
ME,ANTHELMINTICS
ME,ANTI INFECTIVE COMBO'S - MISC.
ME,ANTI-MYCOBACTERIALS / ANTI-TUBERCULOSIS
ME,ANTIANGINALS--Isosorbide Di-nitrate/ Mono-Nitrates
ME,ANTIARRHYTHMICS
ME,ANTIASTHMATIC - 5-Lipoxygenase Inhibitors
ME,ANTIASTHMATIC - ADRENERGIC ANTICHOLINERGIC
ME,ANTIASTHMATIC - ADRENERGIC COMBINATIONS
ME,ANTIASTHMATIC - ALPHA-PROTEINASE INHIBITOR
ME,ANTIASTHMATIC - ANTICHOLINERGICS - INHALER
ME,ANTIASTHMATIC - ANTICHOLINERGICS - NEBULIZER
ME,ANTIASTHMATIC - ANTIINFLAMMATORY AGENTS
ME,ANTIASTHMATIC - BETA - ADRENERGICS
ME,ANTIASTHMATIC - HYDRO-LYTIC ENZYMES
ME,ANTIASTHMATIC - LEUKOTRIENE RECEPTOR ANTAGONISTS
ME,ANTIASTHMATIC - MUCOLYTICS
ME,ANTIASTHMATIC - NASAL MISC.
ME,ANTIASTHMATIC - NASAL STEROIDS
ME,ANTIASTHMATIC - PHOSPHODIESTERASE 4 INHIBITORS
ME,ANTIASTHMATIC - STEROID INHALANTS
ME,ANTIASTHMATIC - XANTHINES
ME,ANTIASTHMATIC-CFTR POTENTIATOR AND COMBINATIONS
ME,ANTIBIOTICS - MISC.
ME,ANTICOAGULANTS
ME,ANTICONVULSANTS
ME,ANTIDEPRESSANTS - MAO INHIBITORS
ME,ANTIDEPRESSANTS - MAO INHIBITORS TOPICAL
ME,ANTIDEPRESSANTS - SELECTED SSRI's AND OTHERS
ME,"ANTIDEPRESSANTS - TRI-CYCLICS

"
ME,ANTIEMETIC - 5-HT3 RECEPTOR ANTAGONISTS/ SUBSTANCE P NEUROKININ
ME,ANTIEMETIC - ANTICHOLINERGIC / DOPAMINERGIC
ME,ANTIFUNGALS - ASSORTED
ME,ANTIHEMOPHILIC AGENTS
ME,ANTIHISTIMINES - NON-SEDATING 
ME,ANTIHISTIMINES - OTHER
ME,ANTIHYPERTENSIVES - CENTRAL
ME,ANTILEPROTIC
ME,ANTIMALARIAL AGENTS
ME,ANTINEOPLASTIC AGENTS - ANTIADNDROGENS
ME,ANTINEOPLASTIC AGENTS - TYROSINE KINASE INHIBITORS 
ME,ANTINEOPLASTIC AGENTS- LHRH ANALOGS
ME,ANTINEOPLASTICS- MONOCLONAL ANTIBODIES
ME,ANTINEOPLASTICS-MISCELLANEOUS
ME,ANTIPROTOZOALS
ME,ANTIPSYCHOTICS - ATYPICALS
ME,ANTIPSYCHOTICS - SPECIAL ATYPICALS
ME,ANTIPSYCHOTICS - TYPICAL
ME,ANTIRETROVIRALS 
ME,ANTISPASMODICS
ME,ANTISPASMODICS - LONG ACTING
ME,ANTITHYROID THERAPIES
ME,ANXIOLYTICS - BENZODIAZEPINES
ME,ANXIOLYTICS - MISC.
ME,APDS
ME,ARB'S AND CA CHANNEL BLOCKERS
ME,ARB'S AND DIRECT RENIN INHIBITOR COMBINATION
ME,ARB'S AND DIURETICS
ME,ARTHRITIS - MISC.
ME,ARTIFICIAL SALIVA/STIMULANTS
ME,BETA BLOCKERS & DURECTIC COMBOS
ME,BETA BLOCKERS - ALPHA / BETA
ME,BETA BLOCKERS - CARDIO SELECTIVE
ME,BETA BLOCKERS - NON SELECTIVE
ME,BETA BLOCKERS AND DIURETIC COMBO'S
ME,BETA-LACTAMS / CLAVULANATE COMBO'S
ME,BPH
ME,CALCIMIMETIC AGENTS
ME,"CALCIUM CHANNEL BLOCKERS--Amlodipine, Bepridil, Diltiazem, Felodipines, Isradipines, Nifedipines, Nisoldipine, and Verapamil"
ME,CANCER
ME,CARBAPENEMS
ME,CARDIAC - SINUS NODE INHIBITORS
ME,CARDIAC GLYCOSIDES
ME,CARDIAC MYOSIN INHIBITORS
ME,CARDIAC RISK REDUCTION- SGLT2/GLP-1 
ME,CARDIAC- ERAs
ME,CARDIAC- SOLUBLE GUANYLATE CYCLASE STIMULATORS
ME,CCB / LIPID
ME,CENTRAL PRECOCIOUS PUBERTY AGENTS
ME,CEPHALOSPORINS
ME,CHELATING AGENTS
ME,CHOLESTEROL - BILE SEQUESTRANTS
ME,CHOLESTEROL - FIBRIC ACID DERIVATIVES
ME,CHOLESTEROL - HMG COA + ABSORB INHIBITORS LESS POTENT DRUGS/COMBINATIONS
ME,CHOLESTEROL - HMG COA + ABSORB INHIBITORS MORE POTENT DRUGS/COMBINATIONS
ME,CHOLESTEROL - HMG COA + ABSORB INHIBITORS STATIN/ NIACIN COMBO
ME,CHOLINERGIC
ME,COLD AGGLUTININ DISEASE (CAD)
ME,COMPLEMENT RECEPTOR ANTAGONIST
ME,CONGENITAL ADRENAL HYPERPLASIA
ME,CONTRACEPTIVE - EMERGENCY
ME,CONTRACEPTIVES - BI-PHASIC COMBINATIONS
ME,CONTRACEPTIVES - INJECTABLE
ME,CONTRACEPTIVES - MONOPHASIC COMBINATION O/C'S
ME,CONTRACEPTIVES - MULTI-PHASIC COMBINATIONS
ME,CONTRACEPTIVES - PATCHES/ VAGINAL PRODUCTS
ME,CONTRACEPTIVES - PROGESTIN ONLY 
ME,CONTRACEPTIVES - TRI-PHASIC COMBINATIONS
ME,CONTRACEPTIVES- LONG ACTING REVERSIBLE
ME,COUGH/COLD
ME,COX 2 INHIBITORS - SELECTIVE / HIGHLY SELECTIVE
ME,CUSHING DISEASE AGENTS
ME,CYTO-MEGALOVIRUS AGENTS
ME,DENTAL PRODUCTS
ME,DIABETIC -  / THIAZOL
ME,DIABETIC - ALPHAGLUCOSIDASE
ME,DIABETIC - DPP- 4 ENZYME INHIBITOR
ME,DIABETIC - DPP- 4 ENZYME INHIBITOR-COMBO
ME,DIABETIC - INSULIN
ME,DIABETIC - MEGLITINIDES
ME,DIABETIC - ORAL SULFONYLUREAS
ME,DIABETIC - OTHER
ME,DIABETIC - PENFILLS
ME,DIABETIC - SULFONYLUREA / BIGUANIDE
ME,DIABETIC - THIAZOL / BIGUANIDE COMBO
ME,DIABETIC -ORAL BIGUANIDES
ME,DIABETIC MONITOR
ME,DIABETIC TEST STRIPS
ME,DIABETIC- SUPPLIES
ME,DIRECT RENIN INHIBITOR
ME,DIURETICS
ME,EAR
ME,ELECTROLYTES/ NUTRITIONALS
ME,ENDOMETROSIS- INJECTABLE
ME,ENDOMETROSIS- NASAL
ME,ENDOMETROSIS/ UTERINE FIBROIDS- ORAL
ME,ERA / ENDOTHELIN RECEPTOR ANTAGONIST
ME,ERYTHROPOEITINS
ME,ESTROGEN COMBO'S
ME,ESTROGENS - PATCHES / TOPICAL
ME,ESTROGENS - TABS
ME,EXTENDED RELEASE BUPRENORPHINE 
ME,FABRY DISEASE AGENTS
ME,FAMILIAL HYPERCHOLESTEROLEMIA
ME,FIBROBLAST GROWTH FACTOR 23 INHIBITORS 
ME,FLUOROQUINOLONES
ME,FRIEDREICH'S ATAXIA AGENTS
ME,GAUCHER DISEASE
ME,GH ANTAGONISTS
ME,GI - ANTI - FLATULENTS / GI STIMULANTS
ME,GI - ANTI-DIARRHEAL/ ANTACID - MISC.
ME,GI - ANTIPERISTALTIC AGENTS
ME,GI - DIGESTIVE ENZYMES
ME,GI - H2-ANTAGONISTS
ME,GI - INFLAMMATORY BOWEL AGENTS
ME,GI - IRRITABLE BOWEL SYNDROME AGENTS
ME,GI - MISC.
ME,GI - PROSTAGLANDINS
ME,GI - PROTON PUMP INHIBITOR
ME,GI - ULCER ANTI-INFECTIVE
ME,GI- BILE ACID
ME,GI- EOSINOPHILIC ESOPHAGITIS
ME,GI- IBAT INHIBITORS
ME,GI- NASH
ME,GI- SHORT BOWL SYNDROME
ME,GLUCOCORTICOIDS/ MINERALOCORTICOIDS
ME,GLUCOSE ELEVATING AGENTS
ME,GOUT
ME,GRANULOCYTE CSF
ME,GROWTH HORMONE
ME,HEMATOLOGIC DISORDER TREATMENT AGENTS
ME,HEMATOLOGICAL AGENTS- THROMBOPOIETIN RECEPTOR AGONISTS
ME,HEMATOLOGICAL AGENTS-IgAN
ME,HEMOSTATIC
ME,HEPATITIS AGENTS - MISC.
ME,HEPATITIS B ONLY
ME,HEPATITIS C AGENTS
ME,HERED. TYROSINEMIA
ME,HEREDITARY ANGIOEDEMA
ME,HERPES AGENTS
ME,HUTCHINSON- GILFORD PROGERIA SYNDROME (HGPS)
ME,HYPERAMMONIA TREATMENTS
ME,IDIOPATHIC PULMONARY FIBROSIS
ME,IMMUNE GLOBULIN 
ME,IMMUNE SERUMS
ME,IMMUNOSUPPRESSANTS
ME,IMMUNOSUPPRESSANTS- Misc. 
ME,INCRETIN MIMETIC
ME,INFLUENZA AGENTS
ME,"ISOTRETINION, ACNE"
ME,K REMOVING RESINS
ME,LINCOSAMIDES / OXAZOLIDINONES / LEPROSTATICS
ME,LITHIUM
ME,LONG ACTING AMPHETAMINES 
ME,LUPUS-SLE  
ME,MACROLIDES / ERYTHROMYCIN'S
ME,MIGRAINE -  ACUTE TREATMENT
ME,MIGRAINE -  PREVENTATIVE TREATMENT
ME,MIGRAINE - CARBOXYLIC ACID DERIVATIVES
ME,MIGRAINE - ERGOTAMINE DERIVATIVES
ME,MIGRAINE - SELECTIVE SEROTONIN AGONISTS (5HT)--Combinations
ME,MIGRAINE - SELECTIVE SEROTONIN AGONISTS (5HT)--Injectables
ME,MIGRAINE - SELECTIVE SEROTONIN AGONISTS (5HT)--Tabs/Nasal
ME,MINERALS
ME,MONOCLONAL ANTIBODY
ME,MOUTH ANTI-INFECTIVES
ME,MOUTH ANTISEPTICS
ME,MOVEMENT DISORDERS
ME,MULTIPLE SCLEROSIS - INTERFERONS
ME,MULTIPLE SCLEROSIS - MISC
ME,MULTIPLE SCLEROSIS - NON-INTERFERONS
ME,MUSCLE RELAXANT - COMBO.
ME,MUSCLE RELAXANTS 
ME,MUSCULAR DYSTROPHY AGENTS
ME,MYASTHENIA GRAVIS
ME,NARCOTIC - ANTAGONISTS
ME,NARCOTICS -  MISC.
ME,NARCOTICS - LONG ACTING
ME,NARCOTICS - SELECTED
ME,NEUROGENIC ORTHOSTATIC HYPOTENSION 
ME,NEUROLOGICS - MISC. 
ME,NEUROLOGICS- RETT SUNDROME
ME,NEUROLOGICS- SMA 
ME,NEUROLOGICS- hATTR AGENTS
ME,NICOTINE PATCHES / TABLETS
ME,NICOTINE REPLACEMENT - OTHER
ME,NIEMANN-PICK DISEASE AGENTS
ME,NITRO -  OINTMENT/CAP/CR
ME,NITRO - PATCHES 
ME,NITRO - SUBLINGUAL/ SPRAY
ME,NSAID - PPI
ME,NSAIDS
ME,OBSTRUCTIVE SLEEP APNEA
ME,OP. -  ANTI-INFLAMMATORY / STEROIDS OPHTH.
ME,OP. -  ANTIBIOTICS
ME,OP. -  CYCLOPLEGICS
ME,OP. -  OF INTEREST
ME,OP. - ANTI-ALLERGICS
ME,OP. - ARTIFICIAL TEARS AND LUBRICANTS
ME,OP. - BETA - BLOCKERS
ME,OP. - CARBONIC ANHYDRASE INHIBITORS/COMBO
ME,OP. - EYE
ME,OP. - MIOTICS - DIRECT ACTING
ME,OP. - NSAID'S
ME,OP. - PROSTAGLANDINS
ME,OP. - QUINOLONES
ME,OP. - RHO KINASE INHIBITORS
ME,OP. - SELECTIVE ALPHA ADRENERGIC AGONISTS
ME,OP. -ANTI-PARASITIC
ME,OP. -QUINOLONES-4TH GENERATION
ME,OP. ANTI-ALLERGICS- MASTCELL STABILIZER CLASS
ME,OPIOID DEPENDENCE TREATMENTS
ME,OPIOID WITHDRAWAL AGENTS
ME,OSTEOPOROSIS
ME,PARATHYOID HORMONE
ME,PARKINSONS -  DOPAMINERGICS/CARBII/ LEVO
ME,PARKINSONS - ADENOSINE RECEPTOR ANTAGONIST
ME,PARKINSONS - ANTICHOLINERGICS
ME,PARKINSONS - COMBO.
ME,PARKINSONS - COMT INHIBITORS
ME,PARKINSONS - SELECTED DOPAMIN AGONISTS
ME,PARKINSONS- MAOIS
ME,PHENYLKETONURIA (PKU) TREATMENT AGENTS- INJECTABLES
ME,PHENYLKETONURIA (PKU) TREATMENT AGENTS- ORAL
ME,PHOSPHATE BINDERS
ME,PIK3CA-Related Overgrowth Spectrum (PROS)
ME,PLATELET AGGR. INHIBITORS / COMBO'S - MISC.
ME,PLATELET AGGREGATION INHIBITORS
ME,POMPE DISEASE AGENTS
ME,PRIMARY HYPEROXALURIA TYPE 1 (PH1)
ME,PROGESTINS
ME,PSORIASIS BIOLOGICALS
ME,PSYCHOTHERAPEUTIC AGENTS - MISC.
ME,PSYCHOTHERPEUTIC COMBINATION
ME,PULMONARY ANTI-HYPERTENSIVES
ME,PURINE ANALOG
ME,PYRUVATE KINASE DEFICIENCY AGENTS
ME,RHEUMATOID ARTHRITIS
ME,RSV PROPHYLAXIS
ME,SEDATIVE/HYPNOTICS - BARBITURATE
ME,SEDATIVE/HYPNOTICS - BENZODIAZEPINES
ME,SEDATIVE/HYPNOTICS - Non-Benzodiazepines
ME,SGLT 2 INHIBITOR COMBINATIONS
ME,SGLT 2 INHIBITORS
ME,SICKLE CELL DISEASE
ME,SOMATOSTATIC AGENTS
ME,STIMULANT -  STIMULANT LIKE
ME,STIMULANT - AMPHETAMINES -SHORT ACTING
ME,STIMULANT - LONG ACTING AMPHETAMINES SALT
ME,STIMULANT - METHYLPHENIDATE 
ME,STIMULANT - METHYLPHENIDATE - LONG ACTING
ME,TETRACYCLINES
ME,THYROID EYE DISEASE
ME,THYROID HORMONES
ME,TOPICAL -  CORTICOSTEROIDS
ME,TOPICAL -  STEROID COMBINATIONS
ME,TOPICAL - ACNE PREPARATIONS
ME,TOPICAL - ANTIBIOTIC
ME,TOPICAL - ANTIFUNGALS
ME,TOPICAL - ANTINEOPLASTICS
ME,TOPICAL - ANTIPRURITICS
ME,TOPICAL - ANTIPSORIATICS
ME,TOPICAL - ANTISEBORRHEICS
ME,TOPICAL - ANTISEPTICS / DISINFECTANTS
ME,TOPICAL - ANTIVIRALS
ME,TOPICAL - ASTRINGENTS / PROTECTANTS
ME,TOPICAL - BURN PRODUCTS
ME,TOPICAL - DEPIGMENTING AGENTS
ME,TOPICAL - EMOLLIENTS
ME,TOPICAL - ENZYMES / KERATOLYTICS / UREA 
ME,TOPICAL - GENITAL WARTS
ME,TOPICAL - LOCAL ANESTHETICS 
ME,TOPICAL - SCABICIDES AND PEDICULICIDES
ME,TOPICAL - STEROID LOCAL ANESTHETICS
ME,TOPICAL - WOUND / DECUBITUS CARE
ME,TOPICAL- ATOPIC DERMATITIS
ME,UREA CYCLE DISORDER
ME,UROLOGICAL - MISC.
ME,VACCINES
ME,VAGINAL -  ANTI FUNGALS
ME,VAGINAL - ANTIBACTERIALS
ME,VAGINAL - ESTROGENS
ME,VAGINAL - OTHER
ME,VASOMOTOR SYMPTOMS AGENTS
ME,VASOPRESSIN RECEPTOR ANTAGONIST
ME,VASOPRESSINS
ME,VITAMIN D's
ME,VITAMINS
ME,VITAMINS - MISC.
ME,WHIM SYNDROME AGENTS
MS,ACNE AGENTS: ANTI-INFECTIVES
MS,ACNE AGENTS: ISOTRETINOIN PRODUCTS
MS,ACNE AGENTS: KERATOLYTICS (BENZOYL PEROXIDES)
MS,ACNE AGENTS: RETINOIDS
MS,ACNE AGENTS (continued): OTHERS/COMBINATION PRODUCTS
MS,ALPHA-1 PROTEINASE INHIBITORS
MS,ALZHEIMER’S AGENTS : CHOLINESTERASE INHIBITORS
MS,ALZHEIMER’S AGENTS (continued)
MS,ALZHEIMER’S AGENTS (continued): NMDA RECETPOR ANTAGONISTS
MS,ALZHEIMER’S AGENTS (continued): COMBINATION AGENTS
MS,"ANALGESICS, OPIOID-SHORT ACTING"
MS,"ANALGESICS, OPIOID-LONG ACTING"
MS,"ANALGESICS, OPIOID-LONG ACTING (continued)"
MS,ANALGESICS/ANESTHETICS (TOPICAL)
MS,ANDROGENIC AGENTS
MS,ANDROGENIC AGENTS (continued)
MS,ANGIOTENSIN MODULATORS : ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS
MS,ANGIOTENSIN MODULATORS : ACE INHIBITOR (ACEI) COMBINATIONS
