Preferred,Non-Preferred
Quetiapine ER tablet,
REXULTI (brexpiprazole) dose ,GEODON (ziprasidone) capsule 
"pack, tablet* ", 
 ,INVEGA ER (paliperidone) tablet 
"Risperidone ODT, oral solution, tablet ", 
  ,LATUDA (lurasidone) tablet 
VRAYLAR (cariprazine) capsule* , 
 ,LYBALVI (olanzapine/samidorphan) tablet 
Ziprasidone capsule, 
,"NUPLAZID (pimavanserin) capsule, tablet "
, 
,Olanzapine/Fluoxetine capsule 
, 
,OPIPZA (aripiprazole) film 
, 
,"RISPERDAL (risperidone) tablet, oral        solution "
, 
,SAPHRIS (asenapine) SL tablet 
, 
,SECUADO (asenapine) patch 
, 
,SEROQUEL IR (quetiapine IR) tablet*** 
, 
,SEROQUEL XR (quetiapine ER) tablet 
, 
,SYMBYAX (olanzapine/fluoxetine) capsule 
, 
,VERSACLOZ (clozapine) suspension 
, 
,ZYPREXA (olanzapine) tablet 
, 
,ZYPREXA ZYDIS (olanzapine) ODT
No PA Required ,PA Required 
 ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
ABILIFY ASIMTUFII , 
"(aripiprazole) syringe, vial ",GEODON (ziprasidone) vial 
 , 
ABILIFY MAINTENA ,Risperidone microspheres ER vial 
"(aripiprazole) syringe, vial ", 
 ,"RYKINDO (risperidone microspheres) vial, vial kit "
ARISTADA ER (aripiprazole lauroxil) syringe , 
 ,ZYPREXA (olanzapine) vial
ARISTADA INITIO (aripiprazole lauroxil) syringe ,PA Required 
 ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
"Chlorpromazine ampule, vial ", 
 ,GEODON (ziprasidone) vial 
Fluphenazine vial , 
 ,Risperidone microspheres ER vial 
Fluphenazine decanoate vial , 
 ,"RYKINDO (risperidone microspheres) vial, vial kit "
HALDOL (haloperidol decanoate) ampule , 
 ,ZYPREXA (olanzapine) vial
"Haloperidol decanoate ampule, vial",PA Required 
No PA Required ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
 , 
ABILIFY ASIMTUFII ,GEODON (ziprasidone) vial 
"(aripiprazole) syringe, vial ", 
 ,Risperidone microspheres ER vial 
ABILIFY MAINTENA , 
"(aripiprazole) syringe, vial ","RYKINDO (risperidone microspheres) vial, vial kit "
 , 
ARISTADA ER (aripiprazole lauroxil) syringe ,ZYPREXA (olanzapine) vial
 ,PA Required 
ARISTADA INITIO (aripiprazole lauroxil) syringe ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
 , 
"Chlorpromazine ampule, vial ",GEODON (ziprasidone) vial 
 , 
Fluphenazine vial ,Risperidone microspheres ER vial 
 , 
Fluphenazine decanoate vial ,"RYKINDO (risperidone microspheres) vial, vial kit "
 , 
HALDOL (haloperidol decanoate) ampule ,ZYPREXA (olanzapine) vial
 ,PA Required 
"Haloperidol decanoate ampule, vial",Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
No PA Required , 
 ,GEODON (ziprasidone) vial 
ABILIFY ASIMTUFII , 
"(aripiprazole) syringe, vial ",Risperidone microspheres ER vial 
 , 
ABILIFY MAINTENA ,"RYKINDO (risperidone microspheres) vial, vial kit "
"(aripiprazole) syringe, vial ", 
 ,ZYPREXA (olanzapine) vial
ARISTADA ER (aripiprazole lauroxil) syringe ,PA Required 
 ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
ARISTADA INITIO (aripiprazole lauroxil) syringe , 
 ,GEODON (ziprasidone) vial 
"Chlorpromazine ampule, vial ", 
 ,Risperidone microspheres ER vial 
Fluphenazine vial , 
 ,"RYKINDO (risperidone microspheres) vial, vial kit "
Fluphenazine decanoate vial , 
 ,ZYPREXA (olanzapine) vial
HALDOL (haloperidol decanoate) ampule ,PA Required 
 ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
"Haloperidol decanoate ampule, vial", 
No PA Required ,GEODON (ziprasidone) vial 
 , 
ABILIFY ASIMTUFII ,Risperidone microspheres ER vial 
"(aripiprazole) syringe, vial ", 
 ,"RYKINDO (risperidone microspheres) vial, vial kit "
ABILIFY MAINTENA , 
"(aripiprazole) syringe, vial ",ZYPREXA (olanzapine) vial
 ,
ARISTADA ER (aripiprazole lauroxil) syringe ,
 ,
ARISTADA INITIO (aripiprazole lauroxil) syringe ,
 ,
"Chlorpromazine ampule, vial ",
 ,
Fluphenazine vial ,
 ,
Fluphenazine decanoate vial ,
 ,
HALDOL (haloperidol decanoate) ampule ,
 ,
"Haloperidol decanoate ampule, vial",
No PA Required ,
 ,
ABILIFY ASIMTUFII ,
"(aripiprazole) syringe, vial ",
 ,
ABILIFY MAINTENA ,
"(aripiprazole) syringe, vial ",
 ,
ARISTADA ER (aripiprazole lauroxil) syringe ,
 ,
ARISTADA INITIO (aripiprazole lauroxil) syringe ,
 ,
"Chlorpromazine ampule, vial ",
 ,
Fluphenazine vial ,
 ,
Fluphenazine decanoate vial ,
 ,
HALDOL (haloperidol decanoate) ampule ,
 ,
"Haloperidol decanoate ampule, vial",
No PA Required ,
 ,
ABILIFY ASIMTUFII ,
"(aripiprazole) syringe, vial ",
 ,
ABILIFY MAINTENA ,
"(aripiprazole) syringe, vial ",
 ,
ARISTADA ER (aripiprazole lauroxil) syringe ,
 ,
ARISTADA INITIO (aripiprazole lauroxil) syringe ,
 ,
"Chlorpromazine ampule, vial ",
 ,
Fluphenazine vial ,
 ,
Fluphenazine decanoate vial ,
 ,
HALDOL (haloperidol decanoate) ampule ,
 ,
"Haloperidol decanoate ampule, vial",
No PA Required ,
 ,
ABILIFY ASIMTUFII ,
"(aripiprazole) syringe, vial ",
 ,
ABILIFY MAINTENA ,
"(aripiprazole) syringe, vial ",
 ,
ARISTADA ER (aripiprazole lauroxil) syringe ,
 ,
ARISTADA INITIO (aripiprazole lauroxil) syringe ,
 ,
"Chlorpromazine ampule, vial ",
 ,
Fluphenazine vial ,
 ,
Fluphenazine decanoate vial ,
 ,
HALDOL (haloperidol decanoate) ampule ,
 ,
"Haloperidol decanoate ampule, vial",
,"Table 1                    Atypical Antipsychotics – FDA Approved Indication, Age Range, Quantity and Maximum Dose"
,Brand
,ABILIFY
,CAPLYTA
,CLOZARIL
,COBENFY
,FANAPT
,GEODON
,INVEGA ER
,LATUDA
,LYBALVI
,NUPLAZID
,RISPERDAL
,REXULTI
,SAPHRIS
,SECUADO
,SEROQUEL
,SEROQUEL XR
,SYMBYAX
,VERSACLOZ
,VRAYLAR
,ZYPREXA ZYPREXA 
,ZYDIS
"AJOVY (fremanezumab-vfrm) auto-injector, syringe ",ZAVZPRET (zavegepant) nasal
 ,
"EMGALITY (galcanezumabgnlm) pen, 120 mg syringe  ",
 ,
NURTEC (rimegepant) ODT ,
 ,
UBRELVY (ubrogepant) tablet,
No PA Required ,PA Required 
 , 
"Lithium carbonate capsule,      tablet ",Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
 , 
Lithium citrate solution ,LITHOBID ER (lithium ER) tablet
 ,Non-Preferred 
Lithium ER tablet,PA Required 
Preferred  , 
*Must meet eligibility criteria ,ADLARITY (donepezil) patch 
 , 
"*Donepezil 5mg, 10mg tablet ",ARICEPT (donepezil) tablet 
 , 
*Donepezil ODT ,Donepezil 23mg tablet 
 , 
*Galantamine IR tablet ,EXELON (rivastigmine) patch 
 , 
"*Memantine IR tablet, dose      pack ","Galantamine solution, ER capsule "
 , 
*Memantine ER capsule ,Memantine IR solution 
 , 
"*Rivastigmine capsule, patch","MESTINON (pyridostigmine) IR/ER tablet, syrup "
, 
,"Nemantine/donepezil ER capsule, "
, 
,"NAMZARIC (memantine/donepezil ER) capsule, dose pack "
, 
,"Pyridostigmine syrup, IR/ER tablet"
Preferred  ,Non-Preferred  
No PA Required*  ,PA Required 
"(Unless age, dose, or duplication criteria apply) ", 
 ,AMBIEN (zolpidem) tablet 
Eszopiclone tablet , 
 ,AMBIEN CR (zolpidem ER) tablet 
Ramelteon tablet , 
 ,BELSOMRA (suvorexant) tablet 
Zaleplon capsule , 
 ,DAYVIGO (lemoborexant) tablet 
"Zolpidem IR, ER tablet", 
,Doxepin tablet 
, 
,EDLUAR (zolpidem) SL tablet 
, 
,HETLIOZ (tasimelteon) capsule 
, 
,HETLIOZ LQ (tasimelteon) suspension 
, 
,LUNESTA (eszopiclone) tablet 
, 
,QUVIVIQ (daridorexant) tablet 
, 
,ROZEREM (ramelteon) tablet 
, 
,SILENOR (doxepin) tablet 
, 
,Tasimelteon capsule 
, 
,"Zolpidem capsule, SL tablet"
Preferred  ,Non-Preferred  
No PA Required*  ,PA Required 
"(Unless age, dose, or duplication criteria apply) ", 
 ,DORAL (quazepam) tablet 
"Temazepam 15mg, 30mg capsule ", 
 ,Estazolam tablet 
Triazolam tablet,  
,Flurazepam capsule 
, 
,HALCION (triazolam) tablet 
, 
,Quazepam tablet 
, 
,RESTORIL (temazepam) capsule 
, 
,"Temazepam 7.5mg, 22.5mg capsule"
No PA Required  ,PA Required 
(*if under 65 years of age) , 
 ,AMRIX ER (cyclobenzaprine ER) capsule 
Baclofen tablet , 
 ,"Baclofen solution, suspension "
Cyclobenzaprine tablet , 
 ,Carisoprodol tablet 
Methocarbamol tablet , 
 ,Carisoprodol/Aspirin tablet 
Tizanidine tablet, 
,Chlorzoxazone tablet 
, 
,Cyclobenzaprine ER capsule
,DANTRIUM (dantrolene) capsule 
Preferred  , 
"*No PA Required (if age, max daily dose, and diagnosis met) ",*Dantrolene capsule 
 , 
Brand/generic changes effective ,FEXMID (cyclobenzaprine) tablet 
08/08/2024 , 
 ,FLEQSUVY (baclofen) solution 
"Amphetamine salts, mixed ER ", 
(generic Adderall XR) capsule ,LORZONE (chlorzoxazone) tablet 
 , 
"Amphetamine salts, mixed ",LYVISPAH (baclofen) granules 
(generic Adderall IR) tablet , 
 ,Metaxalone tablet 
Armodafinil tablet , 
 ,NORGESIC/NORGESIC FORTE 
Atomoxetine capsule ,(orphenadrine/aspirin/ caffeine) tablet 
 , 
Clonidine ER tablet,Orphenadrine ER tablet 
, 
,Orphenadrine/Aspirin/Caffeine tablet 
, 
,SOMA (carisoprodol) tablet 
, 
,Tizanidine capsule 
, 
,"ZANAFLEX (tizanidine) capsule, tablet"
,Non-Preferred  
,PA Required 
, 
,"ADDERALL IR (amphetamine salts, mixed IR) "
,tablet 
, 
,"ADDERALL XR (amphetamine salts, mixed ER) capsule "
, 
,ADZENYS XR-ODT (amphetamine)  
, 
,Amphetamine tablet (generic Evekeo) 
, 
,APTENSIO XR (methylphenidate ER) capsule 
, 
,AZSTARYS (serdexmethylphenidate/ dexmethylphenidate) capsule
DAYTRANABNR ,CONCERTA (methylphenidate ER) tablet 
(methylphenidate) patch , 
 ,COTEMPLA XR-ODT (methylphenidate ER) 
Dexmethylphenidate IR tablet , 
 ,DESOXYN (methamphetamine) tablet 
Dexmethylphenidate ER capsule , 
 ,DEXEDRINE (dextroamphetamine) Spansule 
Guanfacine ER tablet , 
 ,"Dextroamphetamine ER capsule, solution, tablet  "
"Methylphenidate (generic Methylin/Ritalin) solution, tablet ", 
 ,"DYANAVEL XR (amphetamine) suspension, tablet "
Methylphenidate ER tablet , 
(generic Concerta) ,"EVEKEO (amphetamine) ODT, tablet "
 , 
Modafinil tablet ,"FOCALIN (dexmethylphenidate) tablet, XR capsule "
 , 
VYVANSEBNR ,INTUNIV (guanfacine ER) tablet 
(lisdexamfetamine) capsule, 
,JORNAY PM (methylphenidate) capsule 
, 
,"Lisdexamfetamine capsule, chewable tablet "
, 
,Methamphetamine tablet 
, 
,METHYLIN (methylphenidate) solution 
, 
,"Methylphenidate CD/ER/LA capsule, chewable tablet, ER tablet (generic Relexxi/Ritalin), patch "
, 
,MYDAYIS ER (dextroamphetamine/ amphetamine) capsule 
, 
,NUVIGIL (armodafinil) tablet 
, 
, 
,ONYDA XR (clonidine) suspension 
,PROCENTRA (dextroamphetamine) solution 
, 
,PROVIGIL (modafinil) tablet 
, 
,QELBREE (viloxazine ER) capsule
,Table 1:  Diagnosis and Age Limitations
,Approval for medically accepted indications not listed in Table 1 may be given with prior authorization review and may require submission of peer-reviewed literature or medical compendia showing safety and efficacy of the medication used for the prescribed indication. 
,Preferred medications may also receive approval for off-label use for fatigue associated with multiple sclerosis if meeting all other criteria for approval.  
,Bolded drug names are preferred (subject to preferential coverage changes for brand/generic equivalents)
,Drug
,Stimulants–Immediate Release
,Amphetamine sulfate (EVEKEO)
,Dexmethylphenidate IR (FOCALIN)
,Dextroamphetamine IR tablet (ZENZEDI)
,Dextroamphetamine solution (PROCENTRA)
,Methamphetamine (DESOXYN)
,"methylphenidate IR (generic METHYLIN, RITALIN)"
,Mixed amphetamine salts IR (generic ADDERALL)
,Stimulants –Extended-Release
,Amphetamine ER (ADZENYS XR-ODT and ADZENYS ER suspension)
,Amphetamine ER (DYANAVEL XR)
,Mixedamphetamine salts ER (ADDERALL XR)
,Dexmethylphenidate ER (generic Focalin XR)
,"Lisdexamfetamine dimesylate (VYVANSE capsule, Vyvanse chewable)"
,Methylphenidate ER OROS (CONCERTA)
,Methylphenidate patch (DAYTRANA)
,Methylphenidate SR (METADATE ER)
,Methylphenidate ER (METADATE CD)
,Methylphenidate ER (QUILLICHEW ER)
,Methylphenidate ER (QUILLIVANT XR)
,Methylphenidate ER (RELEXXI ER)
,Methylphenidate ER (RITALIN LA)
,Methylphenidate ER (ADHANSIA XR)
,Methylphenidate ER (JORNAY PM)
,Methylphenidate XR (APTENSIO XR)
,Methylphenidate XR ODT (COTEMPLA XR-ODT)
,Serdexmethylphenidate/dexmethylphenidate (AZSTARYS)
,Non-Stimulants
,Atomoxetine (generic STRATTERA)
,Clonidine ER
,Guanfacine ER (generic INTUNIV)
,Viloxazine ER (QELBREE)
,Wakefulness-promoting Agents
,Armodafinil (generic NUVIGIL)
,Modafinil (PROVIGIL)
,Pitolisant (WAKIX)
,Solriamfetol (SUNOSI)
,"KEY:  ADHD–attention-deficit/hyperactivity disorder, OSA–obstructive sleep apnea, SWD–shift work disorder"
,Table 2: Maximum Dose
,Drug
,ADDERALL
,ADDERALL XR
,ADHANSIA XR
,ADZENYS XR ODT  ADZENYS ER SUSPENSION
,AMPHETAMINE SALTS
,APTENSIO XR
,CONCERTA
,AZSTARYS
,CLONIDINE ER
,COTEMPLA XR-ODT
,DEXTROAMPHETAMINE ER
,DAYTRANA
,DESOXYN
,DEXEDRINE
,DYANAVEL XR
,EVEKEO
,FOCALIN
,FOCALIN XR
,GUANFACINE ER
,INTUNIV ER
,JORNAY PM
,METADATE CD
,METADATE ER
,METHYLIN
,METHYLIN ER
,METHYLIN SUSPENSION
,METHYLPHENIDATE
,METHYLPHENIDATE ER
,MYDAYIS ER
,NUVIGIL
,PROCENTRA
,PROVIGIL
,QELBREE
,QUILLICHEW ER
,QUILLIVANT XR
,RELEXXII
,RITALIN IR
,RITALIN SR
,RITALIN LA
,STRATTERA
,SUNOSI
,VYVANSE CAPSULES AND CHEWABLE TABLETS
,WAKIX
,XELSTRYM ER PATCH
,ZENZEDI
(Quantity limits may apply) ,"Dihydroergotamine injection, nasal spray "
 , 
IMITREX (sumatriptan) nasal spray ,"IMITREX (sumatriptan) cartridge, pen injector "
 , 
"Sumatriptan cartridge, pen injector ",TOSYMRA (sumatriptan) nasal spray 
 , 
MIGRANALBNR ,TRUDHESA (dihydroergotamine) nasal spray 
(dihydroergotamine) nasal spray , 
 ,ZEMBRACE SYMTOUCH (sumatriptan) auto-
"Sumatriptan nasal spray*, vial",injector  
Preferred  , 
No PA Required (if age and diagnosis criteria are met*) ,Zolmitriptan nasal spray  
 , 
*Adapalene gel ,ZOMIG (zolmitriptan) nasal spray
 ,Non-Preferred  
*Adapalene/benzoyl peroxide gel ,PA Required  
"(generic Epiduo), gel pump ", 
(generic Epiduo Forte)  ,"ACANYA (clindamycin/benzoyl peroxide) gel, pump "
 , 
"*Clindamycin phosphate gel, lotion, solution, medicated swab/pledget ","Adapalene cream, gel pump, solution  "
 , 
*Clindamycin/benzoyl peroxide gel jar (generic Benzaclin),ALTRENO (tretinoin) lotion 
, 
,ARAZLO (tazarotene) lotion 
, 
,ATRALIN (tretinoin) gel 
, 
,BENZAMYCIN (erythromycin/benzoyl peroxide) gel
*Clindamycin/benzoyl peroxide gel tube (generic Duac) ,BP (sulfacetamide sodium/sulfur/urea) cleansing wash 
 , 
*Dapsone gel ,CABTREO (adapalene/benzoyl peroxide/clindamycin) gel 
 , 
*Erythromycin solution ,CLEOCIN-T (clindamycin) lotion 
 , 
*Erythromycin/Benzoyl peroxide gel (generic Benzamycin) ,CLINDACIN ETZ/PAC (clindamycin phosphate) 
 ,kit 
*Sulfacetamide sodium suspension , 
 ,CLINDAGEL gel 
"*Sulfacetamide sodium/sulfur cleanser, ", 
 ,Clindamycin phosphate foam  
"*RETIN-ABNR (tretinoin) cream, gel", 
,Clindamycin/Benzoyl peroxide gel pump 
, 
,Clindamycin/tretinoin gel 
, 
,Dapsone gel pump 
, 
,"ERY/ERYGEL (erythromycin/ethanol) gel, medicated swabs/pads "
, 
,Erythromycin gel 
, 
,EVOCLIN (clindamycin) foam 
, 
,FABIOR (tazarotene) foam 
, 
,KLARON (sulfacetamide) suspension 
, 
,NEUAC (clindamycin/benzoyl peroxide/emollient) 
,kit 
, 
,"ONEXTON (clindamycin/benzoyl peroxide) gel, gel pump "
, 
,RETIN-A MICRO (tretinoin) (all products) 
, 
,"ROSULA (sulfacetamide sodium/sulfur) cloths, wash "
, 
,SSS 10-5 (sulfacetamide sodium/sulfur) foam
,"Sulfacetamide sodium cleanser, cleansing gel, lotion, shampoo, wash "
Preferred  , 
 ,"Sulfacetamide sodium/sulfur cream, pad, suspension, wash "
AMNESTEEM capsule , 
 ,"SUMADAN/XLT (sulfacetamide sodium/sulfur) kit, wash "
CLARAVIS capsule  , 
 ,"SUMAXIN/ CP/TS (sulfacetamide sodium/sulfur) kit, pads, suspension, wash "
"Isotretinoin 10 mg, 20 mg, 30 mg, 40 mg capsule (Mayne- ","Tazarotene cream, foam, gel "
"Pharma, Upsher-Smith, Zydus only) ", 
 ,Tretinoin (all products) 
ZENATANE capsule, 
No PA Required  ,Tretinoin microspheres (all products) 
Acitretin capsule, 
,WINLEVI (clascoterone) cream 
, 
,ZIANA (clindamycin/tretinoin) gel
,Non-Preferred  
, 
,ABSORICA capsule 
, 
,ABSORICA LD capsule 
, 
,"Isotretinoin 10 mg, 20 mg, 30 mg, 40 mg capsule "
,(All manufacturers except Mayne- 
,"Pharma, Upsher-Smith, Zydus)  "
, 
,"Isotretinoin 25 mg, 35 mg capsule "
, 
,MYORISAN capsule
,PA Required  
,Methoxsalen capsule
No PA Required  ,PA Required 
"Calcipotriene cream, solution ", 
TACLONEX SCALP BNR ,"Calcipotriene foam, ointment "
(calcipotriene/betamethasone) suspension , 
TACLONEX ,"Calcipotriene/betamethasone dipropionate ointment, suspension  "
(calcipotriene/betamethasone) ointment, 
,Calcitriol ointment 
, 
,DUOBRII (halobetasol/tazarotene) lotion 
, 
,ENSTILAR (calcipotriene/betamethasone) foam 
, 
,SORILUX (calcipotriene) foam 
, 
,VTAMA (tapinarof) cream 
, 
,ZORYVE 0.3% (roflumilast) cream
No PA Required ,PA Required 
 , 
ELIDEL (pimecrolimus) creamBNR ,EUCRISA (crisaborole) ointment 
Tacrolimus ointment, 
,OPZELURA (ruxolitinib) cream 
, 
,Pimecrolimus cream  
, 
,"ZORYVE (tapinarof) 0.15% cream, foam"
Preferred  ,Non-Preferred  
No PA Required ,PA Required 
(Unless indicated*) , 
 ,Bexarotene gel 
*Diclofenac 3% gel (generic Solaraze) , 
 ,CARAC (fluorouracil) cream 
Fluorouracil 5% cream (generic , 
Efudex)  ,EFUDEX (fluorouracil) cream 
 , 
"Fluorouracil 2%, 5% solution",Fluorouracil 0.5% (generic Carac) cream 
No PA Required , 
 ,PANRETIN (alitretinoin) gel 
Imiquimod (generic Aldara) cream , 
 ,TARGRETIN (bexarotene) gel 
"Podofilox gel, solution", 
,VALCHLOR (mechlorethamine) gel
,PA Required 
, 
,CONDYLOX (podofilox) gel 
, 
,HYFTOR (sirolimus) gel  
, 
,"Imiquimod (generic Zyclara) cream, cream pump "
, 
,VEREGEN (sinecatechins) ointment 
, 
,"ZYCLARA (imiquimod) cream, cream pump"
No PA Required  ,PA Required 
 , 
Azelaic acid gel (Sandoz only),Azelaic acid gel (All other manufacturers)
FINACEA (azelaic acid) gel ,Brimonidine gel pump 
 , 
FINACEA (azelaic acid) foam ,*Doxycycline monohydrate DR capsule (generic Oracea) 
"Metronidazole cream, lotion  ", 
 ,Ivermectin cream 
Metronidazole 0.75% gel, 
No PA Required ,"Metronidazole 1% gel, gel pump "
 , 
DERMA-SMOOTHE-FS ,NORITATE (metronidazole) cream 
(fluocinolone) 0.01% body , 
oil/scalp oilBNR ,RHOFADE (oxymetazoline) cream 
 , 
"Desonide 0.05% cream, ointment ",ROSADAN (metronidazole/skin cleanser) cream 
 ,"kit, gel kit"
Fluocinolone 0.01% cream  ,PA Required 
 ,"Alclometasone 0.05% cream, ointment "
"Hydrocortisone (Rx) cream, lotion, ointment", 
,CAPEX (fluocinolone) 0.01% shampoo 
, 
,Desonide 0.05% lotion 
, 
,"Fluocinolone 0.01% body oil, 0.01% scalp oil, 0.01% solution "
, 
,PROCTOCORT (hydrocortisone) (Rx) 1% cream 
, 
,SYNALAR (fluocinolone) 0.01% solution
,SYNALAR TS (fluocinolone/skin cleanser) Kit 
No PA Required , 
 ,TEXACORT (hydrocortisone) 2.5% solution
Betamethasone dipropionate ,PA Required 
"0.05% cream, lotion, ointment ", 
 ,"BESER (fluticasone) lotion, emollient kit "
"Betamethasone valerate 0.1% cream, ointment ", 
 ,"Betamethasone valerate 0.1% lotion, 0.12% foam "
"Fluocinolone 0.025% cream,  0.05% cream, 0.005% ", 
ointment ,"Clocortolone 0.1% cream, cream pump "
 , 
"Fluticasone cream, ointment ","CLODERM (clocortolone) 0.1% cream, cream pump "
 , 
Hydrocortisone valerate 0.2% cream ,"CUTIVATE (fluticasone) 0.05% cream, lotion "
 , 
"Mometasone 0.1% cream, 0.1% ointment, 0.1% solution  ",Diflorasone 0.05% cream 
 , 
"Triamcinolone acetonide 0.025% cream, 0.1% cream, 0.025% ointment, 0.05% ointment, 0.1% ointment, 0.025% ",Fluocinolone 0.025% ointment 
"lotion, 0.1% lotion ", 
 ,Fluocinonide-E 0.05% cream 
Triamcinolone 0.1% dental paste, 
,"Flurandrenolide 0.05% cream, lotion, ointment  "
, 
,Fluticasone 0.05% lotion 
, 
,"Hydrocortisone butyrate 0.1% cream, lotion, solution, ointment, lipid/lipocream  "
, 
,Hydrocortisone valerate 0.2% ointment 
, 
,KENALOG (triamcinolone) spray 
, 
,LOCOID (hydrocortisone butyrate) 0.1% lotion 
, 
,LOCOID LIPOCREAM (hydrocortisone butyrateemollient) 0.1% cream 
, 
,LUXIQ (betamethasone valerate) 0.12% foam 
, 
,PANDEL (hydrocortisone probutate) 0.1% cream 
, 
,"Prednicarbate 0.1% cream, ointment"
,PSORCON (diflorasone) 0.05% cream 
No PA Required  , 
(*unless exceeds duration of therapy) ,"SYNALAR (fluocinolone) 0.025% cream/kit, ointment/kit "
 , 
* Betamethasone dipropionate ,Triamcinolone 0.147 mg/gm spray
0.05% ointment ,PA Required 
 , 
*Betamethasone dipropionate/propylene glycol (augmented) 0.05% cream ,"Amcinonide 0.1% cream, lotion "
 , 
"*Fluocinonide 0.05% cream, ",APEXICON-E (diflorasone/emollient) 0.05% cream 
"0.05% gel, 0.05% solution, ", 
0.05% ointment ,"Desoximetasone 0.05%, 0.25% cream, 0.05% gel, 0.05%, "
 ,0.25% ointment 
"*Triamcinolone acetonide 0.5% cream, 0.5% ointment", 
No PA Required  ,Diflorasone 0.05% ointment 
(Unless exceeds duration of therapy*) , 
 ,Halcinonide 0.1% cream 
*Betamethasone dipropionate/propylene glycol , 
"(augmented) ,0.05% lotion  ","HALOG (halcinonide) 0.1% cream, ointment, solution  "
0.05% ointment , 
 ,"TOPICORT (desoximetasone) 0.05%, 0.25% cream, 0.05% gel, 0.05%, 0.25% ointment"
"*Clobetasol 0.05% cream, 0.05% gel, 0.05% ointment, 0.05% ",PA Required 
solution , 
 ,Betamethasone dipropionate/propylene glycol (augmented) 
*Fluocinonide 0.1% cream,0.05% gel  
, 
,BRYHALI (halobetasol) 0.01% lotion 
, 
,"Clobetasol emollient/emulsion 0.05% cream, foam "
, 
,"Clobetasol 0.05% lotion, foam, spray, shampoo "
, 
,CLODAN (clobetasol) 0.05% cleanser kit 
, 
,Desoximetasone 0.25% spray
,"DIPROLENE (betamethasone dipropionate/propylene glycol, augmented) 0.05% ointment "
Preferred  , 
 ,"Halobetasol 0.05% cream, foam, ointment "
Testosterone cypionate IM injection , 
 ,IMPEKLO (clobetasol) 0.05% lotion 
Testosterone gel packet  , 
 ,LEXETTE (halobetasol) 0.05% foam 
Testosterone 1.62% gel pump , 
 ,OLUX (clobetasol) 0.05% foam 
Injectable testosterone cypionate is a pharmacy benefit when self-administered., 
,TOPICORT (desoximetasone) 0.25% spray  
, 
,TOVET EMOLLIENT (clobetasol) 0.05% foam 
, 
,ULTRAVATE (halobetasol) 0.05% lotion 
, 
,VANOS (fluocinonide) 0.1% cream
,Non-Preferred  
, 
,ANDROGEL (testosterone) gel packet 
,ANDROGEL (testosterone) gel 1.62% pump 
, 
,DEPO-TESTOSTERONE (testosterone cypionate) IM injection 
, 
,JATENZO (testosterone undecanoate) capsule 
, 
,KYZATREX (testosterone undecanoate) capsule
Administration in an office setting is a medical benefit.,METHITEST (methyltestosterone) tablet 
No PA Required , 
 ,Methyltestosterone capsule 
"Alendronate tablet, solution ", 
 ,NATESTO (testosterone) nasal spray 
Ibandronate tablet, 
,TESTIM (testosterone) gel 
, 
,"Testosterone 1% gel tube, 30 mg/1.5 ml pump  "
, 
,Testosterone enanthate IM injection 
, 
,TLANDO (testosterone undecanoate) capsule 
, 
,UNDECATREX (testosterone undecanoate) capsule 
, 
,XYOSTED (testosterone enanthate) SC injection
,PA Required 
, 
,ACTONEL (risedronate) tablet 
, 
,ATELVIA (risedronate) tablet
Risedronate tablet,BINOSTO (alendronate) effervescent tablet 
No PA Required , 
 ,FOSAMAX (alendronate) tablet 
Raloxifene tablet, 
,FOSAMAX plus D (alendronate/vit D) tablet
,PA Required 
, 
,Calcitonin salmon nasal spray 
, 
,EVISTA (raloxifene) tablet 
, 
,FORTEO (teriparatide) SC pen 
, 
,Teriparatide SC pen 
, 
,TYMLOS (abaloparatide) SC pen
No PA Required ,PA Required 
 , 
ANNOVERA (segesterone ,Etonorgestrel/EE vaginal ring 
acetate/EE) vaginal ring , 
 ,XULANE (norelgestromin/EE) TD patch 
Norelgestromin/EE TD patch , 
 ,ZAFEMY (norelgestromin/EE) TD patch
NUVARINGBNR ,
(etonorgestrel/EE) vaginal ring ,
 ,
*PHEXXI (lactic acid/citric/potassium) vaginal gel,
TWIRLA (levonorgestrel/EE) TD patch,
NOVOLIN N U-100 (insulin NPH) FlexPen (OTC),
No PA Required ,PA Required 
"LANTUSBNR (insulin glargine) Solostar, vial  ", 
 ,"BASAGLAR (insulin glargine) Kwikpen, Tempo pen "
Insulin degludec vial* , 
 ,Insulin degludec FlexTouch 
TRESIBA BNR (insulin degludec) FlexTouch*,"Insulin glargine solostar, vial "
No PA Required ,Insulin glargine MAX solostar 
